Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 06/10/2015
TIME       : 07:57:53
FILENAME   : Ceradiver.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-J4845  216.
  Instrument number       =                    
                          =0
  Location                =pcmarshbarom
  Sample period           =M12
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-J4845  216.
  Instrument number       =                    
  Location                =pcmarshbarom
  Sample period           =00 00:12:00 0
  Sample method           =T   
  Start date / time       =48:15:08 18/08/15
  End date / time         =48:51:06 06/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/09/13 10:27:48,1033.383,21.710
2015/09/13 10:39:48,1034.142,21.647
2015/09/13 10:51:48,1033.792,21.563
2015/09/13 11:03:48,1033.967,21.850
2015/09/13 11:15:48,1034.317,22.083
2015/09/13 11:27:48,1034.142,22.003
2015/09/13 11:39:48,1034.550,22.017
2015/09/13 11:51:48,1034.492,22.100
2015/09/13 12:03:48,1034.317,22.647
2015/09/13 12:15:48,1034.492,23.237
2015/09/13 12:27:48,1034.842,23.440
2015/09/13 12:39:48,1034.842,23.327
2015/09/13 12:51:48,1035.192,23.230
2015/09/13 13:03:48,1035.192,23.160
2015/09/13 13:15:48,1035.192,23.267
2015/09/13 13:27:48,1035.425,23.473
2015/09/13 13:39:48,1035.017,23.447
2015/09/13 13:51:48,1035.192,23.640
2015/09/13 14:03:48,1035.600,23.787
2015/09/13 14:15:48,1035.192,24.057
2015/09/13 14:27:48,1035.250,24.343
2015/09/13 14:39:48,1035.192,24.563
2015/09/13 14:51:48,1035.192,24.667
2015/09/13 15:03:48,1035.367,24.750
2015/09/13 15:15:48,1035.017,24.877
2015/09/13 15:27:48,1035.192,25.003
2015/09/13 15:39:48,1035.192,25.107
2015/09/13 15:51:48,1035.367,25.043
2015/09/13 16:03:48,1035.367,24.987
2015/09/13 16:15:48,1035.542,24.787
2015/09/13 16:27:48,1035.425,24.837
2015/09/13 16:39:48,1035.600,24.837
2015/09/13 16:51:48,1035.950,24.667
2015/09/13 17:03:48,1035.950,23.857
2015/09/13 17:15:48,1036.358,23.140
2015/09/13 17:27:48,1036.242,22.967
2015/09/13 17:39:48,1036.767,23.100
2015/09/13 17:51:48,1037.058,22.877
2015/09/13 18:03:48,1037.058,22.390
2015/09/13 18:15:48,1037.292,21.703
2015/09/13 18:27:48,1037.642,21.017
2015/09/13 18:39:48,1038.050,20.417
2015/09/13 18:51:48,1037.875,19.917
2015/09/13 19:03:48,1038.108,19.537
2015/09/13 19:15:48,1038.400,19.233
2015/09/13 19:27:48,1038.283,18.973
2015/09/13 19:39:48,1038.808,18.740
2015/09/13 19:51:48,1039.042,18.517
2015/09/13 20:03:48,1039.392,18.343
2015/09/13 20:15:48,1039.567,18.177
2015/09/13 20:27:48,1039.800,17.997
2015/09/13 20:39:48,1039.917,17.787
2015/09/13 20:51:48,1040.150,17.580
2015/09/13 21:03:48,1040.208,17.340
2015/09/13 21:15:48,1040.675,17.110
2015/09/13 21:27:48,1040.733,16.890
2015/09/13 21:39:48,1040.908,16.657
2015/09/13 21:51:48,1040.908,16.407
2015/09/13 22:03:48,1041.083,16.267
2015/09/13 22:15:48,1041.083,16.127
2015/09/13 22:27:48,1041.317,15.940
2015/09/13 22:39:48,1041.142,15.683
2015/09/13 22:51:48,1041.667,15.423
2015/09/13 23:03:48,1041.667,15.150
2015/09/13 23:15:48,1041.667,14.893
2015/09/13 23:27:48,1041.842,14.753
2015/09/13 23:39:48,1041.492,14.673
2015/09/13 23:51:48,1041.667,14.607
2015/09/14 00:03:48,1041.842,14.407
2015/09/14 00:15:48,1041.725,14.177
2015/09/14 00:27:48,1041.667,14.070
2015/09/14 00:39:48,1041.725,14.003
2015/09/14 00:51:48,1041.842,14.017
2015/09/14 01:03:48,1042.017,14.017
2015/09/14 01:15:48,1042.600,14.023
2015/09/14 01:27:48,1042.775,14.010
2015/09/14 01:39:48,1043.008,13.923
2015/09/14 01:51:48,1042.833,13.710
2015/09/14 02:03:48,1043.125,13.420
2015/09/14 02:15:48,1043.358,13.140
2015/09/14 02:27:48,1043.358,12.830
2015/09/14 02:39:48,1043.767,12.577
2015/09/14 02:51:48,1043.767,12.337
2015/09/14 03:03:48,1043.767,12.120
2015/09/14 03:15:48,1043.942,11.907
2015/09/14 03:27:48,1044.000,11.753
2015/09/14 03:39:48,1044.292,11.653
2015/09/14 03:51:48,1044.117,11.547
2015/09/14 04:03:48,1044.292,11.397
2015/09/14 04:15:48,1044.525,11.263
2015/09/14 04:27:48,1044.525,11.097
2015/09/14 04:39:48,1044.700,10.957
2015/09/14 04:51:48,1044.875,10.863
2015/09/14 05:03:48,1044.875,10.737
2015/09/14 05:15:48,1045.050,10.613
2015/09/14 05:27:48,1045.458,10.513
2015/09/14 05:39:48,1045.808,10.400
2015/09/14 05:51:48,1045.808,10.307
2015/09/14 06:03:48,1045.808,10.253
2015/09/14 06:15:48,1046.392,10.287
2015/09/14 06:27:48,1046.392,10.420
2015/09/14 06:39:48,1046.742,10.587
2015/09/14 06:51:48,1046.742,10.790
2015/09/14 07:03:48,1046.742,11.290
2015/09/14 07:15:48,1046.742,12.277
2015/09/14 07:27:48,1047.092,13.553
2015/09/14 07:39:48,1046.917,14.827
2015/09/14 07:51:48,1047.208,15.960
2015/09/14 08:03:48,1047.383,16.903
2015/09/14 08:15:48,1047.558,17.680
2015/09/14 08:27:48,1047.383,18.330
2015/09/14 08:39:48,1047.733,18.880
2015/09/14 08:51:48,1047.733,19.437
2015/09/14 09:03:48,1047.908,19.917
2015/09/14 09:15:48,1047.908,20.327
2015/09/14 09:27:48,1048.258,20.723
2015/09/14 09:39:48,1047.908,21.107
2015/09/14 09:51:48,1048.083,21.473
2015/09/14 10:03:48,1048.258,21.813
2015/09/14 10:15:48,1048.258,22.183
2015/09/14 10:27:48,1048.258,22.447
2015/09/14 10:39:48,1048.258,22.730
2015/09/14 10:51:48,1048.083,22.947
2015/09/14 11:03:48,1048.083,23.197
2015/09/14 11:15:48,1048.083,23.467
2015/09/14 11:27:48,1048.083,23.653
2015/09/14 11:39:48,1048.258,23.827
2015/09/14 11:51:48,1047.850,24.037
2015/09/14 12:03:48,1047.733,24.197
2015/09/14 12:15:48,1047.675,24.383
2015/09/14 12:27:48,1047.850,24.587
2015/09/14 12:39:48,1047.850,24.780
2015/09/14 12:51:48,1047.850,24.917
2015/09/14 13:03:48,1047.500,25.167
2015/09/14 13:15:48,1047.500,25.253
2015/09/14 13:27:48,1047.267,25.363
2015/09/14 13:39:48,1047.500,25.523
2015/09/14 13:51:48,1047.500,25.557
2015/09/14 14:03:48,1047.675,25.670
2015/09/14 14:15:48,1047.500,25.857
2015/09/14 14:27:48,1047.092,26.003
2015/09/14 14:39:48,1047.325,26.140
2015/09/14 14:51:48,1047.267,26.217
2015/09/14 15:03:48,1047.092,26.333
2015/09/14 15:15:48,1047.442,26.397
2015/09/14 15:27:48,1047.500,26.427
2015/09/14 15:39:48,1047.267,26.403
2015/09/14 15:51:48,1047.500,26.383
2015/09/14 16:03:48,1047.267,26.313
2015/09/14 16:15:48,1047.150,26.280
2015/09/14 16:27:48,1047.617,26.190
2015/09/14 16:39:48,1047.500,26.030
2015/09/14 16:51:48,1047.325,25.890
2015/09/14 17:03:48,1047.675,25.730
2015/09/14 17:15:48,1047.850,25.417
2015/09/14 17:27:48,1047.850,25.070
2015/09/14 17:39:48,1047.675,24.620
2015/09/14 17:51:48,1047.908,24.077
2015/09/14 18:03:48,1047.908,23.260
2015/09/14 18:15:48,1047.908,22.017
2015/09/14 18:27:48,1048.083,20.710
2015/09/14 18:39:48,1048.083,19.570
2015/09/14 18:51:48,1048.492,18.580
2015/09/14 19:03:48,1048.667,17.787
2015/09/14 19:15:48,1048.492,17.153
2015/09/14 19:27:48,1048.725,16.557
2015/09/14 19:39:48,1048.900,16.080
2015/09/14 19:51:48,1049.308,15.577
2015/09/14 20:03:48,1049.483,15.103
2015/09/14 20:15:48,1049.483,14.700
2015/09/14 20:27:48,1049.483,14.327
2015/09/14 20:39:48,1049.658,13.977
2015/09/14 20:51:48,1049.658,13.677
2015/09/14 21:03:48,1049.833,13.407
2015/09/14 21:15:48,1049.892,13.107
2015/09/14 21:27:48,1049.892,12.810
2015/09/14 21:39:48,1050.067,12.570
2015/09/14 21:51:48,1050.183,12.370
2015/09/14 22:03:48,1050.417,12.210
2015/09/14 22:15:48,1050.417,12.080
2015/09/14 22:27:48,1050.067,11.927
2015/09/14 22:39:48,1050.475,11.740
2015/09/14 22:51:48,1050.242,11.600
2015/09/14 23:03:48,1050.242,11.480
2015/09/14 23:15:48,1050.592,11.390
2015/09/14 23:27:48,1050.067,11.270
2015/09/14 23:39:48,1049.717,11.150
2015/09/14 23:51:48,1050.067,11.030
2015/09/15 00:03:48,1050.067,10.977
2015/09/15 00:15:48,1050.417,10.950
2015/09/15 00:27:48,1050.475,10.890
2015/09/15 00:39:48,1050.475,10.817
2015/09/15 00:51:48,1050.650,10.723
2015/09/15 01:03:48,1050.767,10.667
2015/09/15 01:15:48,1050.825,10.613
2015/09/15 01:27:48,1050.825,10.593
2015/09/15 01:39:48,1051.000,10.600
2015/09/15 01:51:48,1050.825,10.673
2015/09/15 02:03:48,1050.767,10.680
2015/09/15 02:15:48,1050.825,10.627
2015/09/15 02:27:48,1050.825,10.647
2015/09/15 02:39:48,1051.175,10.653
2015/09/15 02:51:48,1051.000,10.627
2015/09/15 03:03:48,1051.175,10.607
2015/09/15 03:15:48,1051.000,10.647
2015/09/15 03:27:48,1051.175,10.653
2015/09/15 03:39:48,1051.175,10.647
2015/09/15 03:51:48,1051.350,10.660
2015/09/15 04:03:48,1051.175,10.700
2015/09/15 04:15:48,1051.350,10.717
2015/09/15 04:27:48,1051.933,10.743
2015/09/15 04:39:48,1051.933,10.783
2015/09/15 04:51:48,1051.933,10.803
2015/09/15 05:03:48,1051.933,10.817
2015/09/15 05:15:48,1052.108,10.877
2015/09/15 05:27:48,1052.108,10.870
2015/09/15 05:39:48,1052.283,10.890
2015/09/15 05:51:48,1052.517,10.930
2015/09/15 06:03:48,1052.633,10.977
2015/09/15 06:15:48,1052.692,11.057
2015/09/15 06:27:48,1052.633,11.223
2015/09/15 06:39:48,1052.517,11.447
2015/09/15 06:51:48,1052.692,11.753
2015/09/15 07:03:48,1052.808,12.463
2015/09/15 07:15:48,1053.042,13.427
2015/09/15 07:27:48,1052.983,14.407
2015/09/15 07:39:48,1053.158,15.450
2015/09/15 07:51:48,1053.158,16.643
2015/09/15 08:03:48,1053.508,17.853
2015/09/15 08:15:48,1053.333,18.947
2015/09/15 08:27:48,1053.683,19.890
2015/09/15 08:39:48,1053.625,20.670
2015/09/15 08:51:48,1053.450,21.397
2015/09/15 09:03:48,1053.450,22.083
2015/09/15 09:15:48,1053.625,22.717
2015/09/15 09:27:48,1053.625,23.313
2015/09/15 09:39:48,1053.625,23.910
2015/09/15 09:51:48,1053.275,24.480
2015/09/15 10:03:48,1053.275,25.000
2015/09/15 10:15:48,1053.275,25.557
2015/09/15 10:27:48,1053.217,26.037
2015/09/15 10:39:48,1053.392,26.500
2015/09/15 10:51:48,1053.217,26.947
2015/09/15 11:03:48,1053.217,27.300
2015/09/15 11:15:48,1052.867,27.683
2015/09/15 11:27:48,1053.217,28.077
2015/09/15 11:39:48,1053.217,28.453
2015/09/15 11:51:48,1052.867,28.800
2015/09/15 12:03:48,1053.217,29.160
2015/09/15 12:15:48,1053.217,29.363
2015/09/15 12:27:48,1053.217,29.370
2015/09/15 12:39:48,1052.983,28.933
2015/09/15 12:51:48,1052.867,29.203
2015/09/15 13:03:48,1052.808,29.420
2015/09/15 13:15:48,1052.283,29.850
2015/09/15 13:27:48,1052.283,30.237
2015/09/15 13:39:48,1052.633,30.213
2015/09/15 13:51:48,1052.283,30.263
2015/09/15 14:03:48,1052.108,30.177
2015/09/15 14:15:48,1051.933,30.237
2015/09/15 14:27:48,1052.050,30.360
2015/09/15 14:39:48,1051.875,30.330
2015/09/15 14:51:48,1052.050,30.270
2015/09/15 15:03:48,1051.875,30.147
2015/09/15 15:15:48,1051.875,30.067
2015/09/15 15:27:48,1052.050,29.940
2015/09/15 15:39:48,1051.933,29.850
2015/09/15 15:51:48,1051.875,29.780
2015/09/15 16:03:48,1051.875,29.660
2015/09/15 16:15:48,1051.875,29.510
2015/09/15 16:27:48,1052.050,29.397
2015/09/15 16:39:48,1051.700,29.203
2015/09/15 16:51:48,1051.933,28.877
2015/09/15 17:03:48,1051.875,28.433
2015/09/15 17:15:48,1051.700,27.933
2015/09/15 17:27:48,1051.933,27.467
2015/09/15 17:39:48,1051.758,26.967
2015/09/15 17:51:48,1051.758,26.260
2015/09/15 18:03:48,1051.758,25.153
2015/09/15 18:15:48,1051.992,23.697
2015/09/15 18:27:48,1051.642,22.350
2015/09/15 18:39:48,1052.167,21.167
2015/09/15 18:51:48,1052.050,20.147
2015/09/15 19:03:48,1052.225,19.213
2015/09/15 19:15:48,1052.225,18.437
2015/09/15 19:27:48,1052.400,17.747
2015/09/15 19:39:48,1052.400,17.117
2015/09/15 19:51:48,1052.808,16.550
2015/09/15 20:03:48,1052.808,16.087
2015/09/15 20:15:48,1052.633,15.720
2015/09/15 20:27:48,1052.983,15.370
2015/09/15 20:39:48,1052.983,14.987
2015/09/15 20:51:48,1053.158,14.607
2015/09/15 21:03:48,1053.042,14.300
2015/09/15 21:15:48,1053.567,14.050
2015/09/15 21:27:48,1053.392,13.823
2015/09/15 21:39:48,1053.042,13.610
2015/09/15 21:51:48,1053.392,13.420
2015/09/15 22:03:48,1053.158,13.220
2015/09/15 22:15:48,1052.983,12.987
2015/09/15 22:27:48,1053.042,12.777
2015/09/15 22:39:48,1053.392,12.630
2015/09/15 22:51:48,1053.217,12.530
2015/09/15 23:03:48,1053.042,12.497
2015/09/15 23:15:48,1053.217,12.437
2015/09/15 23:27:48,1052.808,12.337
2015/09/15 23:39:48,1053.042,12.210
2015/09/15 23:51:48,1053.042,12.127
2015/09/16 00:03:48,1052.867,12.060
2015/09/16 00:15:48,1053.158,11.973
2015/09/16 00:27:48,1053.042,11.927
2015/09/16 00:39:48,1053.042,11.887
2015/09/16 00:51:48,1052.808,11.847
2015/09/16 01:03:48,1052.808,11.813
2015/09/16 01:15:48,1053.042,11.800
2015/09/16 01:27:48,1052.808,11.773
2015/09/16 01:39:48,1052.517,11.713
2015/09/16 01:51:48,1052.692,11.660
2015/09/16 02:03:48,1052.808,11.627
